Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
merced-2,prophet,0.5277,0.9734366353071388,0.043231035255352046,0.10434192351710801,0,0.9050198190565524,1.1265915321545297,78.24,121,86.47,16.150925,11.721965,10.80033
merced-2,kairos,0.5329,0.9830289614462276,0.008955962132339287,0.21055496609309407,0,0.8819946540467114,1.0448666825180077,78.9,115,85.65,16.18033,12.14189,10.60688
merced-2,ptp,0.5769,1.0641947980077475,0.17336285869250706,0.12394802327560353,0,0.7886703871504378,1.0326384599335194,75.66,112.4,83.17,16.18471,10.12764,8.424935
merced-3,baseline,0.4855,1.0101955888472742,0.02302595559099498,0.1126424294305098,0,0.8566685602474279,1.0145033901861162,80.47,120.6,86.67,17.221655,12.17868,11.20909
merced-3,triangel,0.4731,0.9843945068664169,-0.000914508313401999,0.013001858828441069,0,0.9579510703363915,1.033189652013633,83.53,124.2,87.32,17.234455,12.477115,11.920815
merced-3,prophet,0.4779,0.99438202247191,0.04615098291594184,0.11627080776050853,0,0.8898880761670434,1.089415090094186,81.32,127.6,87.52,17.20901,11.89041,11.622525
merced-3,kairos,0.4744,0.9870994590095713,0.007057356918556216,0.17125403149307533,0,0.889927770638543,1.0365045187553386,83.16,124.4,87.29,17.23329,12.37774,11.842305
merced-3,ptp,0.5111,1.0634623387432376,0.1502970347067938,0.11192876576928759,0,0.7575658464695312,1.028311670757436,79.68,120,85.08,17.230605,10.592155,9.386795
merced-4,baseline,0.5931,1.0079877634262406,0.019369092455065563,0.06958155614773283,0,0.913332706943531,1.0152784042538452,69.23,103.6,83.49,16.692175,10.40849,7.8673
merced-4,triangel,0.5697,0.9682188987083615,4.38097526162195e-05,0.00371523760907847,0,0.8813008130081301,1.0711397571034689,72.58,110.7,84.94,16.6926,10.61361,8.75385
merced-4,prophet,0.5612,0.9537729435757988,0.042012139541128174,0.08192034461587552,0,0.9119861584475203,1.1880319808121285,71.93,119.1,86.11,16.67709,10.168155,9.1654
merced-4,kairos,0.5724,0.9728076138681169,0.007306336162124349,0.14427169018544694,0,0.8381605010974892,1.0717886409155497,72.12,110.5,84.81,16.7,10.536525,8.6787
merced-4,ptp,0.6154,1.0458871515975525,0.1753916379901216,0.09815952065832091,0,0.8182461895512009,1.0302185114312852,68.8,107.7,82.22,16.70616,8.752455,6.967125
tahoe-0,baseline,0.598,1.027491408934708,0.05236789659699924,0.28474064057682313,0,0.8591098149830282,1.0141071225071225,77.8,112.4,86.03,11.52483,9.08674,7.789575
tahoe-0,triangel,0.5775,0.9922680412371135,0.004170451428684655,0.09124971898183998,0,0.9893238434163701,1.0221382716049383,83.18,115.4,86.72,11.55823,9.5489,8.44719
tahoe-0,prophet,0.5996,1.0302405498281788,0.09920022025489916,0.25729170765652604,0,0.851201184884671,1.078717568850902,76.16,116.2,86.23,11.485335,8.63767,7.47714
tahoe-0,kairos,0.5832,1.0020618556701033,0.018987077753525174,0.44316218272975516,0,0.8042586718923614,1.0159848053181386,81.7,114.2,86.39,11.54817,9.406825,8.188785
tahoe-0,ptp,0.6345,1.0902061855670102,0.22170710061331395,0.1459690646635464,0,0.8070252405603814,1.0281895536562202,77.1,113.6,84.2,11.54465,7.462965,6.346585
tahoe-1,baseline,0.4711,1.008347602739726,0.016680033041377634,0.11851694167644734,0,0.8588650301784818,1.0154553804724646,87.4,120.7,87.01,15.713695,13.08261,11.973935
tahoe-1,triangel,0.4667,0.998929794520548,0.002134611294047967,0.07460289905390158,0,0.9870855148342059,1.0060709924546891,88.82,121.3,87.13,15.739495,13.27613,12.25399
tahoe-1,prophet,0.4743,1.0151969178082192,0.04598734416022212,0.1542332318340005,0,0.8745270168003633,1.0464766898240956,85.61,122.4,87.11,15.6587,12.69269,11.73716
tahoe-1,kairos,0.4701,1.006207191780822,0.013506301988871459,0.3413009916047714,0,0.7894677618994036,1.0027265210722074,88.04,120.8,86.99,15.707695,13.124835,12.04777
tahoe-1,ptp,0.505,1.0809075342465753,0.1792028730064121,0.13206267243779585,0,0.7880521588019576,1.03142478556411,86.59,121.2,85.3,15.73831,10.92032,9.742415
tahoe-2,baseline,0.6713,1.09564223926881,0.2006938224821894,0.3480495748327417,0,0.7940603458950758,1.0086543033193247,76.05,122,75.15,21.033565,7.648345,6.981805
