Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
429.mcf-192B,latetpl3d1,0.153,0.9770114942528736,0.06439636693111754,0.4283770142326163,0,0.9986619748578348,0.02924015997139022 ,0.09578344023738651,1.1000436756473857,66.59,118.2,102.9,184.770185,68.58594,62.008305,0,0,0,0,0,0.634239,0,0,0,1249173
429.mcf-192B,latetpl3d2,0.1544,0.9859514687100895,0.07912334520402113,0.41150992697287886,0,0.999391717945498,0.013939195329638015 ,0.0913023843562579,1.0887979040217743,65.95,118.7,102.9,184.814535,67.506355,61.33647,0,0,0,0,0,0.776122,0,0,0,1238444
429.mcf-192B,latetpl3d3,0.1548,0.9885057471264368,0.08294482817513617,0.399166731111283,0,0.9993549423961359,0.00828529675500666 ,0.09056353474419145,1.0811501776744097,65.75,118.7,102.8,184.834185,67.226215,61.131665,0,0,0,0,0,0.838691,0,0,0,1137928
429.mcf-192B,latetpl3d4,0.155,0.9897828863346105,0.08407501259777084,0.3883884364257204,0,0.9994487320837927,0.0057607114238108536 ,0.09080625607959715,1.077184758824466,65.66,118.7,102.8,184.83261,67.143365,61.040165,0,0,0,0,0,0.873924,0,0,0,1083575
429.mcf-192B,latetpl3d5,0.155,0.9897828863346105,0.08436959717962716,0.3821155352651681,0,0.9994065471096146,0.0044687755791104015 ,0.09156123325091213,1.075572698038251,65.64,118.6,102.8,184.833015,67.12177,60.96997,0,0,0,0,0,0.896524,0,0,0,1067172
429.mcf-217B,latetpl2d1,0.8368,1.0188725191769146,0.5416194000381209,0.9726512621079433,0,0.9747139470442016,0.7948105213478136 ,0.13320329631380884,1.9143849640752235,55.56,112.7,87.66,33.211405,7.20261,5.564905,0,0,0,0,0,0.885509,0,0,0,2609444
429.mcf-217B,latetpl2d2,0.873,1.0629489833191281,0.6479913499285471,0.9865212855698583,0,0.9926184653575052,0.4893903579135041 ,0.11036103117264696,1.9158697236699962,49.83,115,83.08,33.190795,5.53117,4.421915,0,0,0,0,0,0.939142,0,0,0,3105860
429.mcf-217B,latetpl2d3,0.8807,1.0723243638134665,0.6737509597843592,0.989831324166918,0,0.9966679171102926,0.3423613747937991 ,0.10250098559678561,1.9169509214889324,48.46,115.6,81.47,33.19651,5.126405,4.15589,0,0,0,0,0,0.958505,0,0,0,3229034
429.mcf-217B,latetpl2d4,0.8838,1.0760988676488494,0.6800192704652437,0.9903979915480298,0,0.9976371570263456,0.26102544663351807 ,0.09966398847331981,1.917706112771266,48.09,115.8,81.01,33.210755,5.02791,4.094115,0,0,0,0,0,0.968511,0,0,0,3268587
429.mcf-217B,latetpl2d5,0.8854,1.0780469986606598,0.6818766302014903,0.9902588575331684,0,0.9978944698200687,0.21115033106415879 ,0.09846103807744261,1.917288366851381,48.02,116.1,81.11,33.18944,4.998725,4.07581,0,0,0,0,0,0.974624,0,0,0,3288218
429.mcf-217B,latetpl3d1,0.836,1.0178984536710094,0.5548462069863074,0.9831064887371583,0,0.9937487032189211,0.8335537919577848 ,0.13411486257579855,1.913901559294984,55.22,114.4,87.62,33.0706,6.994775,5.57242,0,0,0,0,0,0.885665,0,0,0,2662028
429.mcf-217B,latetpl3d2,0.8723,1.062096676001461,0.6490697450195425,0.9903043277033962,0,0.9977906940066138,0.4982828496819181 ,0.11315393482258564,1.9157686044495201,49.85,115.6,83.09,33.16249,5.514225,4.4597,0,0,0,0,0,0.939162,0,0,0,3137276
429.mcf-217B,latetpl3d3,0.8812,1.0729331547546572,0.6725007342569114,0.9914272333285448,0,0.9989674888754805,0.346933185179272 ,0.10516910860011217,1.916576643107261,48.56,116.1,81.71,33.210335,5.14605,4.196995,0,0,0,0,0,0.958504,0,0,0,3264757
429.mcf-217B,latetpl3d4,0.8827,1.0747595275782296,0.679979176696738,0.9913912233936163,0,0.9992578021712649,0.2642136380995488 ,0.10109738890354884,1.9172750978133999,48.31,116.7,81.56,33.138785,5.02854,4.12246,0,0,0,0,0,0.968465,0,0,0,3299772
429.mcf-217B,latetpl3d5,0.8829,1.075003043954706,0.6832468188299429,0.9910919848082701,0,0.9993855292441493,0.2136419873669005 ,0.09917387208114677,1.9175082210841352,48.27,117.1,81.52,33.068285,4.977195,4.093555,0,0,0,0,0,0.974537,0,0,0,3313645
