Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
PageRankDelta-17000M,latetpl3d2,1.008,1.12362055512206,0.10079686125955489,0.9834570516001521,0,0.7819431536017978,0.14292297443172275 ,0.01768144396599808,1.0074496973512697,118.7,159.2,89.13,33.985555,16.61615,15.697525,0,0,0,0,0,0.741721,0,0,0,586413
PageRankDelta-17000M,latetpl3d3,1.013,1.1291940697804035,0.11348603125211391,0.9831576301013994,0,0.866050347680962,0.11557963290784157 ,0.017770746208148776,1.0088610223514691,120.9,164.9,92.41,33.869575,16.38167,15.69701,0,0,0,0,0,0.811175,0,0,0,596650
PageRankDelta-17000M,latetpl3d4,1.017,1.1336528815070783,0.126449299871474,0.9803378418677393,0,0.9310494010761702,0.09853029388756922 ,0.01701712224599474,1.0080993279396675,122,169.1,94.51,33.640975,16.142125,15.65871,0,0,0,0,0,0.851336,0,0,0,603596
PageRankDelta-17000M,latetpl3d5,1.02,1.1369969903020845,0.13319163904484882,0.97735653376354,0,0.9616610943145165,0.08573124490591445 ,0.017000714119797696,1.007373290198949,122.7,171.3,95.73,33.50587,16.017535,15.63034,0,0,0,0,0,0.876623,0,0,0,607460
PageRankDelta-24000M,latetpl2d1,0.7497,0.9924543288324068,0.014452652697872792,0.24754032868404793,0,0.9877204061788911,0.03156019816168428 ,0.052725144911098094,1.069585531735605,87.51,130.7,75.48,42.29422,19.285565,17.95065,0,0,0,0,0,0.62427,0,0,0,403001
PageRankDelta-24000M,latetpl2d2,0.7453,0.9866296002118083,0.013409388002481554,0.19889322186511663,0,0.9903979378121476,0.019715682248268977 ,0.050308587884787544,1.1023783949195356,87.9,131.2,75.42,42.31209,19.30598,17.995465,0,0,0,0,0,0.768083,0,0,0,624154
PageRankDelta-24000M,latetpl2d3,0.742,0.9822610537463596,0.011741135444017338,0.17403761913006574,0,0.9911886364826353,0.014179909670530821 ,0.04876559360793133,1.1243874498196136,88.22,131.4,75.41,42.304135,19.338625,18.040975,0,0,0,0,0,0.832364,0,0,0,768173
PageRankDelta-24000M,latetpl2d4,0.7393,0.978686788456447,0.009164785230049703,0.15849499089253188,0,0.9915746074614644,0.011097036631659637 ,0.04773299079208903,1.1414235380712787,88.59,131.8,75.49,42.315735,19.38904,18.100725,0,0,0,0,0,0.868519,0,0,0,878400
PageRankDelta-24000M,latetpl2d5,0.7367,0.9752449033624571,0.006871289294259412,0.14845150506211624,0,0.9918909604956853,0.0090876480502641 ,0.04638884065574814,1.154879180339442,88.89,131.9,75.48,42.30775,19.43392,18.15787,0,0,0,0,0,0.891933,0,0,0,957801
PageRankDelta-24000M,latetpl3d1,0.7502,0.9931162298120202,0.016078234376069967,0.243080512588511,0,0.9910184962516075,0.03036809078835861 ,0.05106343893560449,1.0672412255869415,87.44,130.8,75.52,42.311475,19.253755,17.94014,0,0,0,0,0,0.623994,0,0,0,393454
